Index,g,spring_constant,moment_of_inertia,cup_mass,ball_mass,axle_distance,bungee_length_no_load,height_offset,pin_elevation,bungee_position,cup_elevation,firing_angle,release_angle,delta_g,delta_spring_constant,delta_moment_of_inertia,delta_cup_mass,delta_ball_mass,delta_axle_distance,delta_bungee_length_no_load,delta_height_offset,delta_pin_elevation,delta_bungee_position,delta_cup_elevation,delta_firing_angle,delta_release_angle,lateral_deviation_angle
48,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0,3.416,6.22523E-05,0.00054,-0.0001068,0.00158,0.0073,0,-0.00434,0.0074,-0.01625,5.76,1.725,2.7
49,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,-1.708,-0.000186757,0.00135,0.0000534,0.00474,0,0,-0.00434,0.0037,0.00975,2.88,0,-3.6
50,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,0,0.000186757,-0.00027,-0.0000267,0.00632,0.00365,0,0,0.00555,0.00325,-5.76,8.625,0.9
51,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0,3.416,6.22523E-05,0.00054,-0.0001068,0.00158,0.0073,0,-0.00434,0.0074,-0.01625,5.76,1.725,2.7
52,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,-1.708,-0.000186757,0.00135,0.0000534,0.00474,0,0,-0.00434,0.0037,0.00975,2.88,0,-3.6
53,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,0,0.000186757,-0.00027,-0.0000267,0.00632,0.00365,0,0,0.00555,0.00325,-5.76,8.625,0.9
54,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0,3.416,6.22523E-05,0.00054,-0.0001068,0.00158,0.0073,0,-0.00434,0.0074,-0.01625,5.76,1.725,2.7
55,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,-1.708,-0.000186757,0.00135,0.0000534,0.00474,0,0,-0.00434,0.0037,0.00975,2.88,0,-3.6
56,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,0,0.000186757,-0.00027,-0.0000267,0.00632,0.00365,0,0,0.00555,0.00325,-5.76,8.625,0.9
57,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0,3.416,6.22523E-05,0.00054,-0.0001068,0.00158,0.0073,0,-0.00434,0.0074,-0.01625,5.76,1.725,2.7
58,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,-1.708,-0.000186757,0.00135,0.0000534,0.00474,0,0,-0.00434,0.0037,0.00975,2.88,0,-3.6
59,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,0,0.000186757,-0.00027,-0.0000267,0.00632,0.00365,0,0,0.00555,0.00325,-5.76,8.625,0.9
60,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0,3.416,6.22523E-05,0.00054,-0.0001068,0.00158,0.0073,0,-0.00434,0.0074,-0.01625,5.76,1.725,2.7
61,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,-1.708,-0.000186757,0.00135,0.0000534,0.00474,0,0,-0.00434,0.0037,0.00975,2.88,0,-3.6
62,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,0,0.000186757,-0.00027,-0.0000267,0.00632,0.00365,0,0,0.00555,0.00325,-5.76,8.625,0.9
63,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0,3.416,6.22523E-05,0.00054,-0.0001068,0.00158,0.0073,0,-0.00434,0.0074,-0.01625,5.76,1.725,2.7
64,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,-1.708,-0.000186757,0.00135,0.0000534,0.00474,0,0,-0.00434,0.0037,0.00975,2.88,0,-3.6
65,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,0,0.000186757,-0.00027,-0.0000267,0.00632,0.00365,0,0,0.00555,0.00325,-5.76,8.625,0.9
66,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0,3.416,6.22523E-05,0.00054,-0.0001068,0.00158,0.0073,0,-0.00434,0.0074,-0.01625,5.76,1.725,2.7
67,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,-1.708,-0.000186757,0.00135,0.0000534,0.00474,0,0,-0.00434,0.0037,0.00975,2.88,0,-3.6
68,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,0,0.000186757,-0.00027,-0.0000267,0.00632,0.00365,0,0,0.00555,0.00325,-5.76,8.625,0.9
69,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0,3.416,6.22523E-05,0.00054,-0.0001068,0.00158,0.0073,0,-0.00434,0.0074,-0.01625,5.76,1.725,2.7
70,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,-1.708,-0.000186757,0.00135,0.0000534,0.00474,0,0,-0.00434,0.0037,0.00975,2.88,0,-3.6
71,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,0,0.000186757,-0.00027,-0.0000267,0.00632,0.00365,0,0,0.00555,0.00325,-5.76,8.625,0.9
72,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0,3.416,6.22523E-05,0.00054,-0.0001068,0.00158,0.0073,0,-0.00434,0.0074,-0.01625,5.76,1.725,2.7
73,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,-1.708,-0.000186757,0.00135,0.0000534,0.00474,0,0,-0.00434,0.0037,0.00975,2.88,0,-3.6
74,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,0,0.000186757,-0.00027,-0.0000267,0.00632,0.00365,0,0,0.00555,0.00325,-5.76,8.625,0.9
75,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0,3.416,6.22523E-05,0.00054,-0.0001068,0.00158,0.0073,0,-0.00434,0.0074,-0.01625,5.76,1.725,2.7
76,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,-1.708,-0.000186757,0.00135,0.0000534,0.00474,0,0,-0.00434,0.0037,0.00975,2.88,0,-3.6
77,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,0,0.000186757,-0.00027,-0.0000267,0.00632,0.00365,0,0,0.00555,0.00325,-5.76,8.625,0.9
78,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0,3.416,6.22523E-05,0.00054,-0.0001068,0.00158,0.0073,0,-0.00434,0.0074,-0.01625,5.76,1.725,2.7
79,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,-1.708,-0.000186757,0.00135,0.0000534,0.00474,0,0,-0.00434,0.0037,0.00975,2.88,0,-3.6
80,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,0,0.000186757,-0.00027,-0.0000267,0.00632,0.00365,0,0,0.00555,0.00325,-5.76,8.625,0.9
81,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0,3.416,6.22523E-05,0.00054,-0.0001068,0.00158,0.0073,0,-0.00434,0.0074,-0.01625,5.76,1.725,2.7
82,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,-1.708,-0.000186757,0.00135,0.0000534,0.00474,0,0,-0.00434,0.0037,0.00975,2.88,0,-3.6
83,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,0,0.000186757,-0.00027,-0.0000267,0.00632,0.00365,0,0,0.00555,0.00325,-5.76,8.625,0.9
84,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0,3.416,6.22523E-05,0.00054,-0.0001068,0.00158,0.0073,0,-0.00434,0.0074,-0.01625,5.76,1.725,2.7
85,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,-1.708,-0.000186757,0.00135,0.0000534,0.00474,0,0,-0.00434,0.0037,0.00975,2.88,0,-3.6
86,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,0,0.000186757,-0.00027,-0.0000267,0.00632,0.00365,0,0,0.00555,0.00325,-5.76,8.625,0.9
87,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0,3.416,6.22523E-05,0.00054,-0.0001068,0.00158,0.0073,0,-0.00434,0.0074,-0.01625,5.76,1.725,2.7
88,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,-1.708,-0.000186757,0.00135,0.0000534,0.00474,0,0,-0.00434,0.0037,0.00975,2.88,0,-3.6
89,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,0,0.000186757,-0.00027,-0.0000267,0.00632,0.00365,0,0,0.00555,0.00325,-5.76,8.625,0.9
90,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0,3.416,6.22523E-05,0.00054,-0.0001068,0.00158,0.0073,0,-0.00434,0.0074,-0.01625,5.76,1.725,2.7
91,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,-1.708,-0.000186757,0.00135,0.0000534,0.00474,0,0,-0.00434,0.0037,0.00975,2.88,0,-3.6
92,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,0,0.000186757,-0.00027,-0.0000267,0.00632,0.00365,0,0,0.00555,0.00325,-5.76,8.625,0.9
93,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0,3.416,6.22523E-05,0.00054,-0.0001068,0.00158,0.0073,0,-0.00434,0.0074,-0.01625,5.76,1.725,2.7
94,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,-1.708,-0.000186757,0.00135,0.0000534,0.00474,0,0,-0.00434,0.0037,0.00975,2.88,0,-3.6
95,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,0,0.000186757,-0.00027,-0.0000267,0.00632,0.00365,0,0,0.00555,0.00325,-5.76,8.625,0.9
96,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0,3.416,6.22523E-05,0.00054,-0.0001068,0.00158,0.0073,0,-0.00434,0.0074,-0.01625,5.76,1.725,2.7
97,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,-1.708,-0.000186757,0.00135,0.0000534,0.00474,0,0,-0.00434,0.0037,0.00975,2.88,0,-3.6
98,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,0,0.000186757,-0.00027,-0.0000267,0.00632,0.00365,0,0,0.00555,0.00325,-5.76,8.625,0.9
99,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0,3.416,6.22523E-05,0.00054,-0.0001068,0.00158,0.0073,0,-0.00434,0.0074,-0.01625,5.76,1.725,2.7
100,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,-1.708,-0.000186757,0.00135,0.0000534,0.00474,0,0,-0.00434,0.0037,0.00975,2.88,0,-3.6
101,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,0,0.000186757,-0.00027,-0.0000267,0.00632,0.00365,0,0,0.00555,0.00325,-5.76,8.625,0.9
102,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0,3.416,6.22523E-05,0.00054,-0.0001068,0.00158,0.0073,0,-0.00434,0.0074,-0.01625,5.76,1.725,2.7
103,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,-1.708,-0.000186757,0.00135,0.0000534,0.00474,0,0,-0.00434,0.0037,0.00975,2.88,0,-3.6
104,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,0,0.000186757,-0.00027,-0.0000267,0.00632,0.00365,0,0,0.00555,0.00325,-5.76,8.625,0.9
105,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0,3.416,6.22523E-05,0.00054,-0.0001068,0.00158,0.0073,0,-0.00434,0.0074,-0.01625,5.76,1.725,2.7
106,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,-1.708,-0.000186757,0.00135,0.0000534,0.00474,0,0,-0.00434,0.0037,0.00975,2.88,0,-3.6
107,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,0,0.000186757,-0.00027,-0.0000267,0.00632,0.00365,0,0,0.00555,0.00325,-5.76,8.625,0.9
108,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0,3.416,6.22523E-05,0.00054,-0.0001068,0.00158,0.0073,0,-0.00434,0.0074,-0.01625,5.76,1.725,2.7
109,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,-1.708,-0.000186757,0.00135,0.0000534,0.00474,0,0,-0.00434,0.0037,0.00975,2.88,0,-3.6
110,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,0,0.000186757,-0.00027,-0.0000267,0.00632,0.00365,0,0,0.00555,0.00325,-5.76,8.625,0.9
111,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0,3.416,6.22523E-05,0.00054,-0.0001068,0.00158,0.0073,0,-0.00434,0.0074,-0.01625,5.76,1.725,2.7
112,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,-1.708,-0.000186757,0.00135,0.0000534,0.00474,0,0,-0.00434,0.0037,0.00975,2.88,0,-3.6
113,9.81,85.4,0.006225232,0.027,0.00267,0.158,0.365,0.044,0.217,0.185,0.325,144,172.5,0.2943,0,0.000186757,-0.00027,-0.0000267,0.00632,0.00365,0,0,0.00555,0.00325,-5.76,8.625,0.9
